,category,move_name,move_num,move_rate
121,poison,growth,12,23.53
122,poison,grudge,2,3.92
123,poison,guard-split,1,1.96
124,poison,gunk-shot,8,15.69
125,poison,gust,2,3.92
126,poison,gyro-ball,6,11.76
127,poison,hail,3,5.88
128,poison,harden,4,7.84
129,poison,haze,10,19.61
130,poison,head-smash,2,3.92
131,poison,headbutt,15,29.41
132,poison,helping-hand,5,9.8
133,poison,hex,6,11.76
134,poison,hidden-power,49,96.08
135,poison,hone-claws,6,11.76
136,poison,horn-attack,2,3.92
137,poison,horn-drill,3,5.88
138,poison,hydro-pump,3,5.88
139,poison,hyper-beam,20,39.22
140,poison,hypnosis,4,7.84
141,poison,ice-beam,9,17.65
142,poison,ice-fang,1,1.96
143,poison,ice-punch,8,15.69
144,poison,icy-wind,7,13.73
145,poison,imprison,1,1.96
146,poison,incinerate,4,7.84
147,poison,infestation,33,64.71
148,poison,ingrain,6,11.76
149,poison,iron-defense,4,7.84
150,poison,iron-tail,8,15.69
151,poison,knock-off,16,31.37
152,poison,leaf-blade,1,1.96
153,poison,leaf-storm,4,7.84
154,poison,leaf-tornado,1,1.96
155,poison,leech-life,5,9.8
156,poison,leech-seed,5,9.8
157,poison,leer,4,7.84
158,poison,lick,6,11.76
159,poison,light-screen,6,11.76
160,poison,lucky-chant,2,3.92
161,poison,lunge,1,1.96
162,poison,magic-coat,2,3.92
163,poison,magical-leaf,4,7.84
164,poison,mean-look,5,9.8
165,poison,mega-drain,26,50.98
166,poison,mega-kick,1,1.96
167,poison,mega-punch,1,1.96
168,poison,megahorn,2,3.92
169,poison,memento,4,7.84
170,poison,metronome,1,1.96
171,poison,mimic,35,68.63
172,poison,mind-reader,2,3.92
173,poison,minimize,3,5.88
174,poison,mirror-coat,2,3.92
175,poison,moonblast,1,1.96
176,poison,moonlight,3,5.88
177,poison,morning-sun,1,1.96
178,poison,mud-bomb,4,7.84
179,poison,mud-slap,15,29.41
180,poison,mud-sport,1,1.96
181,poison,muddy-water,1,1.96
182,poison,nasty-plot,1,1.96
183,poison,natural-gift,37,72.55
184,poison,nature-power,15,29.41
185,poison,night-shade,6,11.76
186,poison,night-slash,2,3.92
187,poison,nightmare,7,13.73
188,poison,ominous-wind,6,11.76
189,poison,outrage,2,3.92
190,poison,pain-split,13,25.49
191,poison,payback,23,45.1
192,poison,peck,3,5.88
193,poison,perish-song,1,1.96
194,poison,petal-blizzard,5,9.8
195,poison,petal-dance,7,13.73
196,poison,pin-missile,8,15.69
197,poison,poison-fang,6,11.76
198,poison,poison-gas,8,15.69
199,poison,poison-jab,29,56.86
200,poison,poison-powder,14,27.45
201,poison,poison-sting,17,33.33
202,poison,poison-tail,7,13.73
203,poison,pound,7,13.73
204,poison,power-gem,1,1.96
205,poison,power-split,1,1.96
206,poison,power-up-punch,6,11.76
207,poison,power-whip,3,5.88
208,poison,protect,49,96.08
209,poison,psybeam,5,9.8
210,poison,psych-up,7,13.73
211,poison,psychic,11,21.57
212,poison,psyshock,1,1.96
213,poison,psywave,7,13.73
214,poison,punishment,1,1.96
215,poison,pursuit,8,15.69
216,poison,quiver-dance,2,3.92
217,poison,rage,28,54.9
218,poison,rage-powder,4,7.84
219,poison,rain-dance,27,52.94
220,poison,rapid-spin,1,1.96
221,poison,razor-leaf,10,19.61
222,poison,razor-wind,2,3.92
223,poison,recycle,2,3.92
224,poison,reflect,19,37.25
225,poison,reflect-type,2,3.92
226,poison,rest,49,96.08
227,poison,retaliate,1,1.96
228,poison,return,49,96.08
229,poison,revenge,1,1.96
230,poison,roar,2,3.92
231,poison,rock-blast,1,1.96
232,poison,rock-climb,4,7.84
233,poison,rock-polish,1,1.96
234,poison,rock-slide,5,9.8
235,poison,rock-smash,19,37.25
236,poison,rock-tomb,5,9.8
237,poison,role-play,2,3.92
238,poison,rollout,10,19.61
239,poison,roost,4,7.84
240,poison,round,49,96.08
241,poison,safeguard,8,15.69
242,poison,sand-attack,1,1.96
243,poison,sandstorm,1,1.96
244,poison,scald,3,5.88
245,poison,scary-face,6,11.76
246,poison,scratch,2,3.92
247,poison,screech,14,27.45
248,poison,secret-power,47,92.16
249,poison,seed-bomb,21,41.18
250,poison,seismic-toss,1,1.96
251,poison,self-destruct,11,21.57
252,poison,shadow-ball,15,29.41
253,poison,shadow-claw,7,13.73
254,poison,shadow-punch,4,7.84
255,poison,shadow-sneak,3,5.88
256,poison,shock-wave,11,21.57
257,poison,signal-beam,9,17.65
258,poison,silver-wind,3,5.88
259,poison,skill-swap,6,11.76
260,poison,skull-bash,11,21.57
261,poison,slam,3,5.88
262,poison,sleep-powder,14,27.45
263,poison,sleep-talk,49,96.08
264,poison,sludge,9,17.65
265,poison,sludge-bomb,49,96.08
266,poison,sludge-wave,14,27.45
267,poison,smack-down,1,1.96
268,poison,smart-strike,4,7.84
269,poison,smog,4,7.84
270,poison,smokescreen,2,3.92
271,poison,snatch,10,19.61
272,poison,snore,47,92.16
273,poison,solar-beam,28,54.9
274,poison,sonic-boom,1,1.96
275,poison,spider-web,2,3.92
276,poison,spikes,5,9.8
277,poison,spit-up,9,17.65
278,poison,spite,10,19.61
279,poison,spore,2,3.92
280,poison,stealth-rock,1,1.96
281,poison,steamroller,3,5.88
282,poison,sticky-web,2,3.92
283,poison,stockpile,11,21.57
284,poison,strength,18,35.29
285,poison,strength-sap,2,3.92
286,poison,string-shot,11,21.57
287,poison,struggle-bug,10,19.61
288,poison,stun-spore,11,21.57
289,poison,submission,1,1.96
290,poison,substitute,49,96.08
291,poison,sucker-punch,13,25.49
292,poison,sunny-day,44,86.27
293,poison,super-fang,4,7.84
294,poison,superpower,1,1.96
295,poison,supersonic,7,13.73
296,poison,surf,3,5.88
297,poison,swagger,48,94.12
298,poison,swallow,10,19.61
299,poison,sweet-scent,17,33.33
300,poison,swift,9,17.65
301,poison,switcheroo,2,3.92
302,poison,swords-dance,21,41.18
303,poison,synthesis,15,29.41
304,poison,tackle,13,25.49
305,poison,tail-whip,2,3.92
306,poison,tailwind,4,7.84
307,poison,take-down,25,49.02
308,poison,taunt,10,19.61
309,poison,teeter-dance,1,1.96
310,poison,telekinesis,3,5.88
311,poison,teleport,1,1.96
312,poison,thief,29,56.86
313,poison,thunder,13,25.49
314,poison,thunder-fang,1,1.96
315,poison,thunder-punch,8,15.69
316,poison,thunder-wave,2,3.92
317,poison,thunderbolt,14,27.45
318,poison,tickle,4,7.84
319,poison,torment,10,19.61
320,poison,toxic,49,96.08
321,poison,toxic-spikes,17,33.33
322,poison,toxic-thread,2,3.92
323,poison,trick,4,7.84
324,poison,trick-room,5,9.8
325,poison,twineedle,4,7.84
326,poison,twister,2,3.92
327,poison,u-turn,4,7.84
328,poison,uproar,7,13.73
329,poison,venom-drench,14,27.45
330,poison,venoshock,49,96.08
331,poison,vine-whip,7,13.73
332,poison,water-gun,5,9.8
333,poison,water-pulse,9,17.65
334,poison,water-sport,1,1.96
335,poison,waterfall,3,5.88
336,poison,weather-ball,2,3.92
337,poison,whirlpool,3,5.88
338,poison,whirlwind,2,3.92
339,poison,will-o-wisp,6,11.76
340,poison,wonder-room,5,9.8
341,poison,work-up,4,7.84
342,poison,worry-seed,15,29.41
343,poison,wrap,8,15.69
344,poison,wring-out,7,13.73
345,poison,x-scissor,6,11.76
346,poison,yawn,2,3.92
347,poison,zap-cannon,7,13.73
348,poison,zen-headbutt,2,3.92
0,fire,absorb,2,4.35
1,fire,acid,1,2.17
2,fire,acid-armor,2,4.35
3,fire,acrobatics,9,19.57
4,fire,aerial-ace,12,26.09
5,fire,after-you,2,4.35
6,fire,agility,4,8.7
7,fire,air-cutter,1,2.17
8,fire,ally-switch,1,2.17
9,fire,amnesia,7,15.22
10,fire,ancient-power,4,8.7
11,fire,assist,1,2.17
12,fire,assurance,1,2.17
13,fire,astonish,4,8.7
14,fire,attract,39,84.78
15,fire,avalanche,1,2.17
16,fire,baby-doll-eyes,2,4.35
17,fire,barrier,1,2.17
18,fire,baton-pass,1,2.17
19,fire,beat-up,4,8.7
20,fire,belch,4,8.7
21,fire,belly-drum,4,8.7
22,fire,bide,10,21.74
23,fire,bind,1,2.17
24,fire,bite,11,23.91
25,fire,blast-burn,1,2.17
26,fire,blaze-kick,1,2.17
27,fire,blizzard,1,2.17
28,fire,block,1,2.17
29,fire,blue-flare,1,2.17
30,fire,body-slam,24,52.17
31,fire,bounce,4,8.7
32,fire,brick-break,13,28.26
33,fire,brutal-swing,2,4.35
34,fire,bug-bite,3,6.52
35,fire,bug-buzz,2,4.35
36,fire,bulk-up,5,10.87
37,fire,bulldoze,7,15.22
38,fire,burn-up,5,10.87
39,fire,calm-mind,7,15.22
40,fire,captivate,25,54.35
41,fire,charge,1,2.17
42,fire,charge-beam,2,4.35
43,fire,charm,1,2.17
44,fire,clear-smog,7,15.22
45,fire,close-combat,1,2.17
46,fire,confide,46,100.0
47,fire,confuse-ray,9,19.57
48,fire,confusion,1,2.17
49,fire,cosmic-power,1,2.17
50,fire,counter,9,19.57
51,fire,covet,17,36.96
52,fire,cross-chop,1,2.17
53,fire,crunch,8,17.39
54,fire,crush-claw,2,4.35
55,fire,curse,24,52.17
56,fire,cut,15,32.61
57,fire,dark-pulse,9,19.57
58,fire,dazzling-gleam,1,2.17
59,fire,defense-curl,8,17.39
60,fire,destiny-bond,1,2.17
61,fire,detect,9,19.57
62,fire,dig,19,41.3
63,fire,disable,4,8.7
64,fire,disarming-voice,1,2.17
65,fire,discharge,1,2.17
66,fire,double-edge,23,50.0
67,fire,double-kick,6,13.04
68,fire,double-slap,3,6.52
69,fire,double-team,46,100.0
70,fire,draco-meteor,1,2.17
71,fire,dragon-breath,5,10.87
72,fire,dragon-claw,7,15.22
73,fire,dragon-dance,1,2.17
74,fire,dragon-pulse,8,17.39
75,fire,dragon-rage,8,17.39
76,fire,dragon-rush,1,2.17
77,fire,dragon-tail,4,8.7
78,fire,dream-eater,10,21.74
79,fire,drill-run,1,2.17
80,fire,dual-chop,3,6.52
81,fire,dynamic-punch,5,10.87
82,fire,earth-power,4,8.7
83,fire,earthquake,5,10.87
84,fire,echoed-voice,10,21.74
85,fire,electro-ball,1,2.17
86,fire,electroweb,1,2.17
87,fire,embargo,9,19.57
88,fire,ember,36,78.26
89,fire,encore,4,8.7
90,fire,endeavor,6,13.04
91,fire,endure,28,60.87
92,fire,energy-ball,7,15.22
93,fire,eruption,6,13.04
94,fire,explosion,1,2.17
95,fire,extrasensory,5,10.87
96,fire,extreme-speed,1,2.17
97,fire,facade,46,100.0
98,fire,fake-out,3,6.52
99,fire,feather-dance,1,2.17
100,fire,feint,2,4.35
101,fire,feint-attack,8,17.39
102,fire,fiery-dance,1,2.17
103,fire,final-gambit,1,2.17
104,fire,fire-blast,45,97.83
105,fire,fire-fang,14,30.43
106,fire,fire-lash,1,2.17
107,fire,fire-pledge,14,30.43
108,fire,fire-punch,15,32.61
109,fire,fire-spin,23,50.0
110,fire,fissure,2,4.35
111,fire,flail,2,4.35
112,fire,flame-burst,21,45.65
113,fire,flame-charge,42,91.3
114,fire,flame-wheel,12,26.09
115,fire,flamethrower,45,97.83
116,fire,flare-blitz,18,39.13
117,fire,flash,7,15.22
118,fire,fling,18,39.13
119,fire,fly,2,4.35
120,fire,focus-blast,9,19.57
121,fire,focus-energy,5,10.87
122,fire,focus-punch,13,28.26
123,fire,foresight,2,4.35
124,fire,foul-play,8,17.39
125,fire,frustration,46,100.0
126,fire,fury-attack,1,2.17
127,fire,fury-cutter,4,8.7
128,fire,fury-swipes,7,15.22
129,fire,fusion-flare,1,2.17
130,fire,future-sight,1,2.17
131,fire,gastro-acid,3,6.52
132,fire,giga-drain,3,6.52
133,fire,giga-impact,19,41.3
134,fire,grass-knot,9,19.57
135,fire,growl,7,15.22
136,fire,grudge,1,2.17
137,fire,guard-swap,2,4.35
138,fire,gunk-shot,3,6.52
139,fire,gust,1,2.17
140,fire,gyro-ball,5,10.87
141,fire,hail,1,2.17
142,fire,hammer-arm,3,6.52
143,fire,harden,2,4.35
144,fire,haze,1,2.17
145,fire,head-smash,1,2.17
146,fire,headbutt,25,54.35
147,fire,heal-bell,1,2.17
148,fire,heat-crash,1,2.17
149,fire,heat-wave,39,84.78
150,fire,heavy-slam,1,2.17
151,fire,helping-hand,12,26.09
152,fire,hex,6,13.04
153,fire,hidden-power,46,100.0
154,fire,high-horsepower,1,2.17
155,fire,hone-claws,9,19.57
156,fire,horn-drill,2,4.35
157,fire,howl,8,17.39
158,fire,hurricane,2,4.35
159,fire,hydro-pump,1,2.17
160,fire,hyper-beam,18,39.13
161,fire,hyper-voice,5,10.87
162,fire,hypnosis,3,6.52
163,fire,ice-beam,1,2.17
164,fire,icy-wind,1,2.17
165,fire,imprison,5,10.87
166,fire,incinerate,40,86.96
167,fire,inferno,17,36.96
168,fire,infestation,1,2.17
169,fire,iron-defense,2,4.35
170,fire,iron-head,3,6.52
171,fire,iron-tail,27,58.7
172,fire,karate-chop,1,2.17
173,fire,knock-off,4,8.7
174,fire,last-resort,4,8.7
175,fire,lava-plume,11,23.91
176,fire,leech-life,7,15.22
177,fire,leer,20,43.48
178,fire,lick,5,10.87
179,fire,light-screen,8,17.39
180,fire,low-kick,11,23.91
181,fire,low-sweep,5,10.87
182,fire,lucky-chant,3,6.52
183,fire,mach-punch,1,2.17
184,fire,magic-coat,3,6.52
185,fire,magic-room,2,4.35
186,fire,magnet-rise,2,4.35
187,fire,magnitude,1,2.17
188,fire,mega-kick,6,13.04
189,fire,mega-punch,6,13.04
190,fire,megahorn,1,2.17
191,fire,memento,3,6.52
192,fire,metal-claw,2,4.35
193,fire,metronome,1,2.17
194,fire,mimic,21,45.65
195,fire,minimize,2,4.35
196,fire,mirror-move,1,2.17
197,fire,morning-sun,3,6.52
198,fire,mud-shot,1,2.17
199,fire,mud-slap,19,41.3
200,fire,nasty-plot,10,21.74
201,fire,natural-gift,25,54.35
202,fire,nature-power,5,10.87
203,fire,night-shade,2,4.35
204,fire,night-slash,2,4.35
205,fire,nightmare,2,4.35
206,fire,noble-roar,1,2.17
207,fire,odor-sleuth,7,15.22
208,fire,ominous-wind,4,8.7
209,fire,outrage,7,15.22
210,fire,overheat,45,97.83
211,fire,pain-split,7,15.22
212,fire,payback,15,32.61
213,fire,peck,1,2.17
214,fire,play-nice,1,2.17
215,fire,poison-gas,3,6.52
216,fire,poison-jab,5,10.87
217,fire,pound,2,4.35
218,fire,powder-snow,1,2.17
219,fire,power-split,1,2.17
220,fire,power-swap,2,4.35
221,fire,power-trip,1,2.17
222,fire,power-up-punch,15,32.61
223,fire,precipice-blades,1,2.17
224,fire,protect,46,100.0
225,fire,psybeam,2,4.35
226,fire,psych-up,12,26.09
227,fire,psychic,13,28.26
228,fire,psychic-terrain,1,2.17
229,fire,psyshock,4,8.7
230,fire,psywave,1,2.17
231,fire,punishment,1,2.17
232,fire,pursuit,2,4.35
233,fire,quash,1,2.17
234,fire,quick-attack,10,21.74
235,fire,quick-guard,1,2.17
236,fire,quiver-dance,1,2.17
237,fire,rage,13,28.26
238,fire,rage-powder,1,2.17
239,fire,rain-dance,7,15.22
240,fire,rapid-spin,1,2.17
241,fire,recover,1,2.17
242,fire,recycle,4,8.7
243,fire,reflect,13,28.26
244,fire,reflect-type,1,2.17
245,fire,rest,46,100.0
246,fire,retaliate,7,15.22
247,fire,return,46,100.0
248,fire,revenge,1,2.17
249,fire,reversal,5,10.87
250,fire,roar,17,36.96
251,fire,rock-climb,6,13.04
252,fire,rock-polish,1,2.17
253,fire,rock-slide,12,26.09
254,fire,rock-smash,27,58.7
255,fire,rock-throw,1,2.17
256,fire,rock-tomb,15,32.61
257,fire,role-play,9,19.57
258,fire,rollout,9,19.57
259,fire,roost,2,4.35
260,fire,round,46,100.0
261,fire,sacred-fire,1,2.17
262,fire,safeguard,14,30.43
263,fire,sand-attack,3,6.52
264,fire,sandstorm,3,6.52
265,fire,scald,1,2.17
266,fire,scary-face,6,13.04
267,fire,scratch,10,21.74
268,fire,screech,1,2.17
269,fire,searing-shot,1,2.17
270,fire,secret-power,41,89.13
271,fire,seismic-toss,6,13.04
272,fire,self-destruct,2,4.35
273,fire,shadow-ball,12,26.09
274,fire,shadow-claw,15,32.61
275,fire,shell-smash,1,2.17
276,fire,shock-wave,8,17.39
277,fire,signal-beam,4,8.7
278,fire,silver-wind,1,2.17
279,fire,skill-swap,2,4.35
280,fire,skull-bash,11,23.91
281,fire,slack-off,1,2.17
282,fire,slash,5,10.87
283,fire,sleep-talk,46,100.0
284,fire,sludge-bomb,7,15.22
285,fire,sludge-wave,3,6.52
286,fire,smack-down,2,4.35
287,fire,smart-strike,1,2.17
288,fire,smelling-salts,1,2.17
289,fire,smog,16,34.78
290,fire,smokescreen,10,21.74
291,fire,snarl,6,13.04
292,fire,snatch,9,19.57
293,fire,snore,41,89.13
294,fire,solar-beam,28,60.87
295,fire,spit-up,2,4.35
296,fire,spite,9,19.57
297,fire,stealth-rock,3,6.52
298,fire,steel-wing,1,2.17
299,fire,stockpile,2,4.35
300,fire,stomp,3,6.52
301,fire,stone-edge,5,10.87
302,fire,stored-power,1,2.17
303,fire,strength,22,47.83
304,fire,string-shot,2,4.35
305,fire,struggle-bug,2,4.35
306,fire,submission,5,10.87
307,fire,substitute,46,100.0
308,fire,sucker-punch,5,10.87
309,fire,sunny-day,43,93.48
310,fire,super-fang,3,6.52
311,fire,superpower,7,15.22
312,fire,swagger,46,100.0
313,fire,swallow,2,4.35
314,fire,sweet-scent,3,6.52
315,fire,swift,19,41.3
316,fire,swords-dance,7,15.22
317,fire,tackle,11,23.91
318,fire,tail-slap,1,2.17
319,fire,tail-whip,8,17.39
320,fire,tailwind,3,6.52
321,fire,take-down,13,28.26
322,fire,taunt,20,43.48
323,fire,telekinesis,5,10.87
324,fire,teleport,2,4.35
325,fire,thief,23,50.0
326,fire,thrash,10,21.74
327,fire,thunder,4,8.7
328,fire,thunder-fang,4,8.7
329,fire,thunder-punch,11,23.91
330,fire,thunder-shock,1,2.17
331,fire,thunder-wave,4,8.7
332,fire,thunderbolt,5,10.87
333,fire,tickle,2,4.35
334,fire,torment,13,28.26
335,fire,toxic,46,100.0
336,fire,trick,6,13.04
337,fire,trick-room,4,8.7
338,fire,u-turn,8,17.39
339,fire,uproar,12,26.09
340,fire,vacuum-wave,1,2.17
341,fire,venom-drench,3,6.52
342,fire,venoshock,3,6.52
343,fire,volt-switch,1,2.17
344,fire,water-gun,1,2.17
345,fire,water-pulse,1,2.17
346,fire,weather-ball,1,2.17
347,fire,whirlwind,1,2.17
348,fire,wild-charge,11,23.91
349,fire,will-o-wisp,44,95.65
350,fire,wish,1,2.17
351,fire,withdraw,1,2.17
352,fire,wonder-room,1,2.17
353,fire,work-up,19,41.3
354,fire,wrap,1,2.17
355,fire,yawn,5,10.87
356,fire,zap-cannon,1,2.17
357,fire,zen-headbutt,10,21.74
0,flying,absorb,9,7.32
1,flying,acrobatics,51,41.46
2,flying,acupressure,2,1.63
3,flying,aerial-ace,95,77.24
4,flying,aeroblast,1,0.81
5,flying,after-you,4,3.25
6,flying,agility,47,38.21
7,flying,air-cutter,69,56.1
8,flying,air-slash,56,45.53
9,flying,ally-switch,4,3.25
10,flying,amnesia,7,5.69
11,flying,ancient-power,30,24.39
12,flying,aqua-jet,1,0.81
13,flying,aqua-ring,5,4.07
14,flying,aqua-tail,14,11.38
15,flying,aromatherapy,2,1.63
16,flying,assurance,9,7.32
17,flying,astonish,19,15.45
18,flying,attack-order,1,0.81
19,flying,attract,111,90.24
20,flying,aura-sphere,1,0.81
21,flying,aurora-beam,1,0.81
22,flying,aurora-veil,2,1.63
23,flying,autotomize,16,13.01
24,flying,avalanche,5,4.07
25,flying,baton-pass,15,12.2
26,flying,beak-blast,1,0.81
27,flying,bestow,4,3.25
28,flying,bide,20,16.26
29,flying,bind,6,4.88
30,flying,bite,13,10.57
31,flying,blast-burn,2,1.63
32,flying,blizzard,12,9.76
33,flying,block,5,4.07
34,flying,body-slam,16,13.01
35,flying,bone-rush,1,0.81
36,flying,boomburst,3,2.44
37,flying,bounce,10,8.13
38,flying,brave-bird,22,17.89
39,flying,brick-break,26,21.14
40,flying,brine,6,4.88
41,flying,brutal-swing,23,18.7
42,flying,bubble,3,2.44
43,flying,bubble-beam,7,5.69
44,flying,bug-bite,16,13.01
45,flying,bug-buzz,11,8.94
46,flying,bulk-up,13,10.57
47,flying,bulldoze,38,30.89
48,flying,bullet-seed,9,7.32
49,flying,burn-up,1,0.81
50,flying,calm-mind,32,26.02
51,flying,camouflage,1,0.81
52,flying,captivate,62,50.41
53,flying,charge,5,4.07
54,flying,charge-beam,26,21.14
55,flying,charm,3,2.44
56,flying,chatter,1,0.81
57,flying,clear-smog,1,0.81
58,flying,close-combat,2,1.63
59,flying,comet-punch,2,1.63
60,flying,confide,122,99.19
61,flying,confuse-ray,25,20.33
62,flying,confusion,7,5.69
63,flying,constrict,2,1.63
64,flying,cosmic-power,15,12.2
65,flying,cotton-guard,3,2.44
66,flying,cotton-spore,3,2.44
67,flying,counter,9,7.32
68,flying,covet,5,4.07
69,flying,cross-poison,2,1.63
70,flying,crunch,13,10.57
71,flying,crush-claw,2,1.63
72,flying,curse,41,33.33
73,flying,cut,25,20.33
74,flying,dark-pulse,16,13.01
75,flying,dazzling-gleam,25,20.33
76,flying,defend-order,1,0.81
77,flying,defense-curl,20,16.26
78,flying,defog,58,47.15
79,flying,destiny-bond,3,2.44
80,flying,detect,33,26.83
81,flying,dig,13,10.57
82,flying,disable,2,1.63
83,flying,disarming-voice,2,1.63
84,flying,discharge,5,4.07
85,flying,dive,9,7.32
86,flying,dizzy-punch,1,0.81
87,flying,double-edge,67,54.47
88,flying,double-hit,4,3.25
89,flying,double-slap,4,3.25
90,flying,double-team,122,99.19
91,flying,draco-meteor,6,4.88
92,flying,dragon-ascent,2,1.63
93,flying,dragon-breath,12,9.76
94,flying,dragon-claw,13,10.57
95,flying,dragon-dance,6,4.88
96,flying,dragon-hammer,1,0.81
97,flying,dragon-pulse,16,13.01
98,flying,dragon-rage,5,4.07
99,flying,dragon-rush,4,3.25
100,flying,dragon-tail,10,8.13
101,flying,drain-punch,5,4.07
102,flying,draining-kiss,1,0.81
103,flying,dream-eater,25,20.33
104,flying,drill-peck,12,9.76
105,flying,drill-run,2,1.63
106,flying,dual-chop,1,0.81
107,flying,dynamic-punch,4,3.25
108,flying,earth-power,12,9.76
109,flying,earthquake,38,30.89
110,flying,echoed-voice,32,26.02
111,flying,electro-ball,2,1.63
112,flying,electroweb,8,6.5
113,flying,embargo,17,13.82
114,flying,ember,7,5.69
115,flying,encore,6,4.88
116,flying,endeavor,19,15.45
117,flying,endure,65,52.85
118,flying,energy-ball,18,14.63
119,flying,entrainment,1,0.81
120,flying,explosion,19,15.45
121,flying,extrasensory,8,6.5
122,flying,extreme-speed,3,2.44
123,flying,facade,119,96.75
124,flying,fairy-wind,4,3.25
125,flying,fake-out,1,0.81
126,flying,fake-tears,2,1.63
127,flying,false-swipe,11,8.94
128,flying,feather-dance,27,21.95
129,flying,feint,8,6.5
130,flying,feint-attack,13,10.57
131,flying,fell-stinger,1,0.81
132,flying,final-gambit,4,3.25
133,flying,fire-blast,18,14.63
134,flying,fire-fang,7,5.69
135,flying,fire-pledge,2,1.63
136,flying,fire-punch,4,3.25
137,flying,fire-spin,3,2.44
138,flying,first-impression,1,0.81
139,flying,fissure,3,2.44
140,flying,flail,6,4.88
141,flying,flame-burst,2,1.63
142,flying,flame-charge,11,8.94
143,flying,flamethrower,18,14.63
144,flying,flare-blitz,3,2.44
145,flying,flash,33,26.83
146,flying,flash-cannon,6,4.88
147,flying,flatter,4,3.25
148,flying,fling,23,18.7
149,flying,fly,79,64.23
150,flying,flying-press,1,0.81
151,flying,focus-blast,16,13.01
152,flying,focus-energy,10,8.13
