,pokemon_id,lose_battle,win_battle,battle_num,win_rate
237,247,59,49.0,108.0,45.37
238,248,18,87.0,105.0,82.86
239,249,6,99.0,105.0,94.29
240,250,38,67.0,105.0,63.81
241,251,73,32.0,105.0,30.48
242,252,71,36.0,107.0,33.64
243,253,42,42.0,84.0,50.0
244,254,37,71.0,108.0,65.74
245,255,65,43.0,108.0,39.81
246,256,89,13.0,102.0,12.75
247,257,54,58.0,112.0,51.79
248,258,64,36.0,100.0,36.0
249,259,24,96.0,120.0,80.0
250,260,38,62.0,100.0,62.0
251,261,22,85.0,107.0,79.44
252,262,61,30.0,91.0,32.97
253,263,5,74.0,79.0,93.67
254,264,21,85.0,106.0,80.19
255,265,32,64.0,96.0,66.67
256,266,72,19.0,91.0,20.88
257,267,77,34.0,111.0,30.63
258,268,67,41.0,108.0,37.96
259,269,48,59.0,107.0,55.14
260,270,12,89.0,101.0,88.12
261,271,19,66.0,85.0,77.65
262,272,18,93.0,111.0,83.78
263,273,45,41.0,86.0,47.67
264,274,22,63.0,85.0,74.12
265,275,7,88.0,95.0,92.63
266,276,5,92.0,97.0,94.85
267,277,81,29.0,110.0,26.36
268,278,71,46.0,117.0,39.32
269,279,35,64.0,99.0,64.65
270,280,14,84.0,98.0,85.71
271,281,96,18.0,114.0,15.79
272,282,86,37.0,123.0,30.08
273,283,56,49.0,105.0,46.67
274,284,45,61.0,106.0,57.55
275,285,68,23.0,91.0,25.27
276,286,40,68.0,108.0,62.96
277,287,56,23.0,79.0,29.11
278,288,20,81.0,101.0,80.2
279,289,108,9.0,117.0,7.69
280,290,109,2.0,111.0,1.8
281,291,57,52.0,109.0,47.71
282,292,98,5.0,103.0,4.85
283,293,59,46.0,105.0,43.81
284,294,92,10.0,102.0,9.8
285,295,73,25.0,98.0,25.51
286,296,39,49.0,88.0,55.68
287,297,90,7.0,97.0,7.22
288,298,54,39.0,93.0,41.94
289,299,38,62.0,100.0,62.0
290,300,31,71.0,102.0,69.61
291,301,9,90.0,99.0,90.91
292,302,51,47.0,98.0,47.96
293,303,53,46.0,99.0,46.46
294,304,93,20.0,113.0,17.7
295,305,81,30.0,111.0,27.03
296,306,39,66.0,105.0,62.86
297,307,16,79.0,95.0,83.16
298,308,64,35.0,99.0,35.35
299,309,66,52.0,118.0,44.07
300,310,102,19.0,121.0,15.7
301,311,54,52.0,106.0,49.06
302,312,97,9.0,106.0,8.49
303,313,38,72.0,110.0,65.45
304,314,14,107.0,121.0,88.43
305,315,69,20.0,89.0,22.47
306,316,8,90.0,98.0,91.84
307,317,67,35.0,102.0,34.31
308,318,93,11.0,104.0,10.58
309,319,84,33.0,117.0,28.21
310,320,48,45.0,93.0,48.39
311,321,88,10.0,98.0,10.2
312,323,98,11.0,109.0,10.09
313,324,95,11.0,106.0,10.38
314,325,81,26.0,107.0,24.3
315,326,49,46.0,95.0,48.42
316,327,61,38.0,99.0,38.38
317,328,61,43.0,104.0,41.35
318,329,63,39.0,102.0,38.24
319,330,75,43.0,118.0,36.44
320,331,73,22.0,95.0,23.16
321,332,83,26.0,109.0,23.85
322,333,71,46.0,117.0,39.32
323,334,80,34.0,114.0,29.82
324,335,77,37.0,114.0,32.46
325,336,23,66.0,89.0,74.16
326,337,34,69.0,103.0,66.99
327,338,52,65.0,117.0,55.56
328,339,12,78.0,90.0,86.67
329,340,9,99.0,108.0,91.67
330,341,26,74.0,100.0,74.0
331,342,43,62.0,105.0,59.05
332,343,29,60.0,89.0,67.42
333,344,46,77.0,123.0,62.6
334,345,50,39.0,89.0,43.82
335,346,72,17.0,89.0,19.1
336,347,59,29.0,88.0,32.95
337,348,52,54.0,106.0,50.94
338,349,24,88.0,112.0,78.57
339,350,5,97.0,102.0,95.1
340,351,53,33.0,86.0,38.37
341,352,67,44.0,111.0,39.64
342,353,89,18.0,107.0,16.82
343,354,76,22.0,98.0,22.45
344,355,72,28.0,100.0,28.0
345,356,70,26.0,96.0,27.08
346,357,61,30.0,91.0,32.97
347,358,40,46.0,86.0,53.49
348,359,58,42.0,100.0,42.0
349,360,75,32.0,107.0,29.91
350,361,45,55.0,100.0,55.0
351,362,8,86.0,94.0,91.49
352,363,76,19.0,95.0,20.0
353,364,60,48.0,108.0,44.44
354,365,75,31.0,106.0,29.25
355,366,34,62.0,96.0,64.58
356,367,37,72.0,109.0,66.06
357,368,33,66.0,99.0,66.67
358,369,73,47.0,120.0,39.17
359,370,48,47.0,95.0,49.47
360,371,42,44.0,86.0,51.16
361,372,65,52.0,117.0,44.44
362,373,69,30.0,99.0,30.3
363,374,101,17.0,118.0,14.41
364,375,68,31.0,99.0,31.31
365,376,64,54.0,118.0,45.76
366,377,42,56.0,98.0,57.14
367,378,83,13.0,96.0,13.54
368,379,86,17.0,103.0,16.5
369,380,52,62.0,114.0,54.39
370,381,54,30.0,84.0,35.71
371,382,71,24.0,95.0,25.26
372,383,40,61.0,101.0,60.4
373,384,45,44.0,89.0,49.44
374,385,67,26.0,93.0,27.96
375,386,80,27.0,107.0,25.23
376,387,53,62.0,115.0,53.91
377,388,32,67.0,99.0,67.68
378,389,94,12.0,106.0,11.32
379,390,79,19.0,98.0,19.39
380,391,66,43.0,109.0,39.45
381,392,62,46.0,108.0,42.59
382,393,34,73.0,107.0,68.22
383,394,6,100.0,106.0,94.34
384,395,98,4.0,102.0,3.92
385,396,67,26.0,93.0,27.96
386,397,45,61.0,106.0,57.55
387,398,8,60.0,68.0,88.24
388,399,98,5.0,103.0,4.85
389,400,86,27.0,113.0,23.89
390,401,59,64.0,123.0,52.03
391,402,80,18.0,98.0,18.37
392,403,65,36.0,101.0,35.64
393,404,78,25.0,103.0,24.27
394,405,63,46.0,109.0,42.2
395,406,43,62.0,105.0,59.05
396,407,67,29.0,96.0,30.21
397,408,60,38.0,98.0,38.78
398,409,16,92.0,108.0,85.19
399,410,7,97.0,104.0,93.27
400,411,101,18.0,119.0,15.13
401,412,64,36.0,100.0,36.0
402,413,44,42.0,86.0,48.84
403,414,12,85.0,97.0,87.63
404,415,69,42.0,111.0,37.84
405,416,81,27.0,108.0,25.0
406,417,63,31.0,94.0,32.98
407,418,14,97.0,111.0,87.39
408,420,14,81.0,95.0,85.26
409,421,9,76.0,85.0,89.41
410,422,30,67.0,97.0,69.07
411,423,29,83.0,112.0,74.11
412,424,21,95.0,116.0,81.9
413,425,23,75.0,98.0,76.53
414,426,19,92.0,111.0,82.88
415,427,4,96.0,100.0,96.0
416,428,18,115.0,133.0,86.47
417,429,6,84.0,90.0,93.33
418,430,13,101.0,114.0,88.6
419,431,34,92.0,126.0,73.02
420,432,12,107.0,119.0,89.92
421,433,84,11.0,95.0,11.58
422,434,75,32.0,107.0,29.91
423,435,60,30.0,90.0,33.33
424,436,51,38.0,89.0,42.7
425,437,39,63.0,102.0,61.76
426,438,11,109.0,120.0,90.83
427,439,103,17.0,120.0,14.17
428,440,80,26.0,106.0,24.53
429,441,50,51.0,101.0,50.5
430,442,58,42.0,100.0,42.0
431,443,35,61.0,96.0,63.54
432,444,18,96.0,114.0,84.21
433,445,92,17.0,109.0,15.6
434,446,44,69.0,113.0,61.06
435,447,91,10.0,101.0,9.9
436,448,46,49.0,95.0,51.58
437,449,87,26.0,113.0,23.01
438,450,52,39.0,91.0,42.86
439,451,46,62.0,108.0,57.41
440,452,65,25.0,90.0,27.78
441,453,34,74.0,108.0,68.52
442,454,52,25.0,77.0,32.47
443,455,65,35.0,100.0,35.0
444,456,85,10.0,95.0,10.53
445,457,82,20.0,102.0,19.61
446,458,85,16.0,101.0,15.84
447,459,87,19.0,106.0,17.92
448,460,85,18.0,103.0,17.48
449,461,78,29.0,107.0,27.1
450,462,52,48.0,100.0,48.0
451,463,57,45.0,102.0,44.12
452,464,73,26.0,99.0,26.26
453,465,28,78.0,106.0,73.58
454,466,38,52.0,90.0,57.78
455,467,10,94.0,104.0,90.38
456,468,97,12.0,109.0,11.01
457,469,37,53.0,90.0,58.89
458,470,106,16.0,122.0,13.11
459,471,87,18.0,105.0,17.14
460,472,9,88.0,97.0,90.72
461,473,35,63.0,98.0,64.29
462,474,41,59.0,100.0,59.0
463,475,35,71.0,106.0,66.98
464,476,11,88.0,99.0,88.89
465,477,5,98.0,103.0,95.15
466,478,12,85.0,97.0,87.63
467,480,32,54.0,86.0,62.79
468,481,5,89.0,94.0,94.68
469,482,80,13.0,93.0,13.98
470,483,40,54.0,94.0,57.45
471,484,30,64.0,94.0,68.09
472,485,77,11.0,88.0,12.5
473,486,81,28.0,109.0,25.69
474,487,78,20.0,98.0,20.41
475,488,69,34.0,103.0,33.01
476,489,78,6.0,84.0,7.14
477,490,27,95.0,122.0,77.87
478,491,77,24.0,101.0,23.76
479,492,81,28.0,109.0,25.69
480,493,45,64.0,109.0,58.72
481,494,24,84.0,108.0,77.78
482,495,27,63.0,90.0,70.0
483,496,28,70.0,98.0,71.43
484,497,60,40.0,100.0,40.0
485,498,24,69.0,93.0,74.19
486,499,8,78.0,86.0,90.7
487,500,79,26.0,105.0,24.76
488,501,75,30.0,105.0,28.57
489,502,62,51.0,113.0,45.13
490,503,27,74.0,101.0,73.27
491,504,70,21.0,91.0,23.08
492,505,35,69.0,104.0,66.35
493,506,60,20.0,80.0,25.0
494,507,54,52.0,106.0,49.06
495,508,29,67.0,96.0,69.79
496,509,62,21.0,83.0,25.3
497,510,80,17.0,97.0,17.53
498,511,48,48.0,96.0,50.0
499,512,69,50.0,119.0,42.02
500,513,3,102.0,105.0,97.14
501,514,43,54.0,97.0,55.67
502,515,79,28.0,107.0,26.17
503,516,46,37.0,83.0,44.58
504,517,67,41.0,108.0,37.96
505,518,22,73.0,95.0,76.84
506,519,24,65.0,89.0,73.03
507,520,42,59.0,101.0,58.42
508,521,16,79.0,95.0,83.16
509,522,20,102.0,122.0,83.61
510,523,53,51.0,104.0,49.04
511,524,16,88.0,104.0,84.62
512,525,37,55.0,92.0,59.78
513,526,33,85.0,118.0,72.03
514,527,44,70.0,114.0,61.4
515,528,13,90.0,103.0,87.38
516,529,81,22.0,103.0,21.36
517,530,81,27.0,108.0,25.0
518,531,38,76.0,114.0,66.67
519,532,40,53.0,93.0,56.99
520,533,29,66.0,95.0,69.47
521,534,23,68.0,91.0,74.73
522,535,36,72.0,108.0,66.67
523,536,29,66.0,95.0,69.47
524,537,29,80.0,109.0,73.39
525,538,26,75.0,101.0,74.26
526,539,40,63.0,103.0,61.17
527,540,10,99.0,109.0,90.83
528,541,22,100.0,122.0,81.97
529,542,28,89.0,117.0,76.07
530,543,41,69.0,110.0,62.73
531,544,16,100.0,116.0,86.21
532,545,29,60.0,89.0,67.42
533,546,34,71.0,105.0,67.62
534,547,34,60.0,94.0,63.83
535,548,44,56.0,100.0,56.0
536,549,15,93.0,108.0,86.11
537,550,5,84.0,89.0,94.38
538,551,14,95.0,109.0,87.16
539,552,6,82.0,88.0,93.18
540,553,4,88.0,92.0,95.65
541,554,14,88.0,102.0,86.27
542,555,50,42.0,92.0,45.65
543,557,10,101.0,111.0,90.99
544,558,79,26.0,105.0,24.76
545,559,74,42.0,116.0,36.21
546,560,58,59.0,117.0,50.43
547,561,73,22.0,95.0,23.16
548,562,56,37.0,93.0,39.78
549,563,36,53.0,89.0,59.55
550,564,87,20.0,107.0,18.69
551,565,53,53.0,106.0,50.0
552,566,54,24.0,78.0,30.77
553,567,71,47.0,118.0,39.83
554,568,36,58.0,94.0,61.7
555,569,36,48.0,84.0,57.14
556,570,10,95.0,105.0,90.48
557,571,63,41.0,104.0,39.42
558,572,23,87.0,110.0,79.09
559,573,59,53.0,112.0,47.32
560,574,12,91.0,103.0,88.35
561,575,59,34.0,93.0,36.56
562,576,17,94.0,111.0,84.68
563,577,100,3.0,103.0,2.91
564,578,102,6.0,108.0,5.56
565,579,89,40.0,129.0,31.01
566,580,52,51.0,103.0,49.51
567,581,19,73.0,92.0,79.35
568,582,42,65.0,107.0,60.75
569,583,5,79.0,84.0,94.05
570,584,96,20.0,116.0,17.24
571,585,71,36.0,107.0,33.64
572,586,72,52.0,124.0,41.94
573,587,36,57.0,93.0,61.29
574,588,10,87.0,97.0,89.69
575,589,31,54.0,85.0,63.53
576,590,29,85.0,114.0,74.56
577,591,72,37.0,109.0,33.94
578,592,69,40.0,109.0,36.7
579,593,96,21.0,117.0,17.95
580,594,76,20.0,96.0,20.83
581,595,72,29.0,101.0,28.71
582,596,60,51.0,111.0,45.95
583,597,52,48.0,100.0,48.0
584,598,43,57.0,100.0,57.0
585,599,92,27.0,119.0,22.69
586,600,46,71.0,117.0,60.68
587,601,80,23.0,103.0,22.33
588,602,76,21.0,97.0,21.65
589,603,21,71.0,92.0,77.17
590,604,78,32.0,110.0,29.09
591,605,55,23.0,78.0,29.49
592,606,5,87.0,92.0,94.57
593,607,65,37.0,102.0,36.27
594,608,12,88.0,100.0,88.0
595,609,94,19.0,113.0,16.81
596,610,26,71.0,97.0,73.2
597,611,15,78.0,93.0,83.87
598,612,47,62.0,109.0,56.88
599,613,34,55.0,89.0,61.8
600,614,15,92.0,107.0,85.98
601,615,61,36.0,97.0,37.11
602,616,17,82.0,99.0,82.83
603,617,66,38.0,104.0,36.54
604,619,73,35.0,108.0,32.41
605,620,63,33.0,96.0,34.38
606,621,61,28.0,89.0,31.46
607,622,46,46.0,92.0,50.0
608,623,33,91.0,124.0,73.39
609,624,83,20.0,103.0,19.42
610,625,74,23.0,97.0,23.71
611,626,80,22.0,102.0,21.57
612,627,80,31.0,111.0,27.93
613,628,40,53.0,93.0,56.99
614,629,9,95.0,104.0,91.35
615,630,54,41.0,95.0,43.16
616,631,50,62.0,112.0,55.36
617,632,56,52.0,108.0,48.15
618,633,10,78.0,88.0,88.64
619,634,46,73.0,119.0,61.34
620,635,14,96.0,110.0,87.27
621,636,75,22.0,97.0,22.68
622,637,67,28.0,95.0,29.47
623,638,52,54.0,106.0,50.94
624,639,96,3.0,99.0,3.03
625,640,91,6.0,97.0,6.19
626,641,81,15.0,96.0,15.62
627,642,64,34.0,98.0,34.69
628,643,15,81.0,96.0,84.38
629,644,75,16.0,91.0,17.58
630,645,59,47.0,106.0,44.34
631,646,36,70.0,106.0,66.04
632,647,39,61.0,100.0,61.0
633,648,19,75.0,94.0,79.79
634,649,21,75.0,96.0,78.12
635,650,56,36.0,92.0,39.13
636,651,41,59.0,100.0,59.0
637,652,85,10.0,95.0,10.53
638,653,82,20.0,102.0,19.61
639,654,75,34.0,109.0,31.19
640,656,46,49.0,95.0,51.58
641,657,61,54.0,115.0,46.96
642,658,19,81.0,100.0,81.0
643,659,70,18.0,88.0,20.45
644,660,62,51.0,113.0,45.13
645,661,80,8.0,88.0,9.09
646,662,74,22.0,96.0,22.92
647,663,27,80.0,107.0,74.77
648,664,61,36.0,97.0,37.11
649,665,87,20.0,107.0,18.69
650,666,62,26.0,88.0,29.55
651,667,102,17.0,119.0,14.29
652,668,96,18.0,114.0,15.79
653,669,84,15.0,99.0,15.15
654,670,59,46.0,105.0,43.81
655,671,36,57.0,93.0,61.29
656,672,69,41.0,110.0,37.27
657,673,63,48.0,111.0,43.24
658,674,14,92.0,106.0,86.79
659,675,71,23.0,94.0,24.47
660,676,66,41.0,107.0,38.32
661,677,21,91.0,112.0,81.25
662,678,94,9.0,103.0,8.74
663,679,8,102.0,110.0,92.73
664,680,90,26.0,116.0,22.41
665,681,54,56.0,110.0,50.91
666,682,9,103.0,112.0,91.96
667,683,84,34.0,118.0,28.81
668,684,67,35.0,102.0,34.31
669,685,40,57.0,97.0,58.76
670,686,44,47.0,91.0,51.65
671,687,38,69.0,107.0,64.49
672,688,53,40.0,93.0,43.01
673,689,63,31.0,94.0,32.98
674,690,35,90.0,125.0,72.0
675,691,50,44.0,94.0,46.81
676,692,47,78.0,125.0,62.4
677,693,47,46.0,93.0,49.46
678,694,13,94.0,107.0,87.85
679,695,78,26.0,104.0,25.0
680,696,63,45.0,108.0,41.67
681,697,19,82.0,101.0,81.19
682,698,61,47.0,108.0,43.52
683,699,30,76.0,106.0,71.7
684,700,7,88.0,95.0,92.63
685,701,16,89.0,105.0,84.76
686,702,11,86.0,97.0,88.66
687,703,15,76.0,91.0,83.52
688,704,3,99.0,102.0,97.06
689,705,13,90.0,103.0,87.38
690,706,13,77.0,90.0,85.56
691,707,25,72.0,97.0,74.23
692,708,43,75.0,118.0,63.56
693,709,9,72.0,81.0,88.89
694,710,15,96.0,111.0,86.49
695,711,25,79.0,104.0,75.96
696,712,21,66.0,87.0,75.86
697,713,23,86.0,109.0,78.9
698,714,11,80.0,91.0,87.91
699,715,10,78.0,88.0,88.64
700,716,35,73.0,108.0,67.59
701,717,5,92.0,97.0,94.85
702,718,17,83.0,100.0,83.0
703,719,100,23.0,123.0,18.7
704,720,57,32.0,89.0,35.96
705,721,46,47.0,93.0,50.54
706,722,59,30.0,89.0,33.71
707,723,34,58.0,92.0,63.04
708,724,19,84.0,103.0,81.55
709,725,46,51.0,97.0,52.58
710,726,23,83.0,106.0,78.3
711,727,4,93.0,97.0,95.88
712,728,56,37.0,93.0,39.78
713,729,44,56.0,100.0,56.0
714,730,68,44.0,112.0,39.29
715,731,27,75.0,102.0,73.53
716,732,10,96.0,106.0,90.57
717,733,91,10.0,101.0,9.9
718,734,103,8.0,111.0,7.21
719,735,37,60.0,97.0,61.86
720,736,52,44.0,96.0,45.83
721,737,18,83.0,101.0,82.18
722,738,98,28.0,126.0,22.22
723,739,59,43.0,102.0,42.16
724,740,38,52.0,90.0,57.78
725,741,64,34.0,98.0,34.69
726,742,53,53.0,106.0,50.0
727,743,72,20.0,92.0,21.74
728,744,62,37.0,99.0,37.37
729,745,11,89.0,100.0,89.0
730,746,49,48.0,97.0,49.48
731,747,18,77.0,95.0,81.05
732,748,27,75.0,102.0,73.53
733,749,58,29.0,87.0,33.33
734,750,78,36.0,114.0,31.58
735,751,55,58.0,113.0,51.33
736,752,43,49.0,92.0,53.26
737,753,98,4.0,102.0,3.92
738,754,88,21.0,109.0,19.27
739,755,65,31.0,96.0,32.29
740,756,41,66.0,107.0,61.68
741,757,60,24.0,84.0,28.57
742,758,40,87.0,127.0,68.5
743,759,74,27.0,101.0,26.73
744,760,44,56.0,100.0,56.0
745,761,86,10.0,96.0,10.42
746,762,96,29.0,125.0,23.2
747,763,85,17.0,102.0,16.67
748,764,70,54.0,124.0,43.55
749,765,37,48.0,85.0,56.47
750,766,23,78.0,101.0,77.23
751,767,53,29.0,82.0,35.37
752,768,58,68.0,126.0,53.97
753,769,74,25.0,99.0,25.25
754,770,52,49.0,101.0,48.51
755,771,54,44.0,98.0,44.9
756,772,13,78.0,91.0,85.71
757,773,10,85.0,95.0,89.47
758,774,87,29.0,116.0,25.0
759,775,77,18.0,95.0,18.95
760,776,61,38.0,99.0,38.38
761,777,35,50.0,85.0,58.82
762,778,42,57.0,99.0,57.58
763,779,83,20.0,103.0,19.42
764,780,76,44.0,120.0,36.67
765,781,56,41.0,97.0,42.27
766,783,55,44.0,99.0,44.44
767,784,74,28.0,102.0,27.45
768,785,27,74.0,101.0,73.27
769,786,18,83.0,101.0,82.18
770,787,41,60.0,101.0,59.41
771,788,62,36.0,98.0,36.73
772,789,95,9.0,104.0,8.65
773,790,66,27.0,93.0,29.03
774,791,71,30.0,101.0,29.7
